Rk,Season,Team,Comp,MP,W,D,L,Pts,Pts/MP,Min,Subs,LgRank,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
141,2017-2018,Stoke City,eng Premier League,38,7,12,19,33,0.87,3420,92,19,35,68,-33,41.4,6,15.8,34,0,3,3,36.5,34.1,-26,-24.5,27.4,25.8,-2.5,-0.1,0.6,0.09,380,0.09,0.28,122,32.1,18.1,11
142,2017-2018,Arsenal,eng Premier League,38,19,6,13,63,1.66,3420,101,6,74,51,23,61.4,13,34.2,69,4,5,1,68.3,64.3,20.5,21.3,53.3,55.2,4.7,4.7,7.7,0.11,589,0.12,0.31,223,37.9,17.9,30
143,2017-2018,Manchester Utd,eng Premier League,38,25,6,7,81,2.13,3420,111,2,68,28,40,54.7,19,50,66,1,3,2,55.7,53.3,15,13.4,40.5,42.2,11.3,12.7,12.5,0.11,509,0.13,0.39,170,33.4,18.4,21
144,2017-2018,Watford,eng Premier League,38,11,8,19,41,1.08,3420,111,14,44,64,-20,49.7,9,23.7,39,3,6,3,45,40.2,-6.8,-7,29.2,29.4,-3,-1.2,-2.2,0.09,434,0.09,0.31,126,29,17.9,10
145,2017-2018,Southampton,eng Premier League,38,7,15,16,36,0.95,3420,113,17,37,56,-19,51.3,8,21.1,33,3,3,0,39.9,37.6,-5.3,-6.1,29.5,31.3,-3.9,-4.6,-6.5,0.09,447,0.07,0.24,136,30.4,18.1,11
146,2017-2018,Tottenham,eng Premier League,38,23,8,7,77,2.03,3420,108,3,74,36,38,61.8,16,42.1,68,2,3,1,64.7,62.3,30.8,30.8,49,43.6,5.3,5.7,2,0.1,620,0.11,0.33,209,33.7,18.4,28
147,2017-2018,Crystal Palace,eng Premier League,38,11,11,16,44,1.16,3420,73,11,45,55,-10,45.2,9,23.7,36,8,10,2,53.5,45.9,5.2,-0.8,33.3,28.6,-9.5,-9.9,-7.3,0.1,466,0.08,0.27,134,28.8,17.8,20
148,2017-2018,Bournemouth,eng Premier League,38,11,11,16,44,1.16,3420,109,12,45,61,-16,48.1,6,15.8,42,3,3,0,38.8,36.4,-20.4,-20.4,29.1,30.3,6.2,5.6,6.9,0.08,462,0.09,0.27,153,33.1,18.3,15
149,2017-2018,West Brom,eng Premier League,38,6,13,19,31,0.82,3420,108,20,31,56,-25,40.7,10,26.3,30,1,1,0,36.5,35.7,-11.4,-11.4,25.9,26.9,-5.5,-5.7,-1.9,0.1,377,0.08,0.27,111,29.4,17.7,15
150,2017-2018,West Ham,eng Premier League,38,10,12,16,42,1.11,3420,97,13,48,68,-20,45.2,10,26.3,46,2,4,2,36.7,33.6,-18.4,-17.1,24.9,22.7,11.3,12.4,4.1,0.09,368,0.13,0.36,127,34.5,18.2,17
